name,category,region,sub_region,source,source_url,raw_text,amount,deadline,registered_at,collected_at
천안시 일자리종합지원센터 운영,취업,전국,,온통청년,https://www.cheonan.go.kr/job.do,구인정보 및 구직정보 제공 및 구인기업과 구직자 취업알선 구인정보 및 구직정보 제공 및 구인기업과 구직자 취업알선,,,2026-04-30,2026-05-04
전입 1인가구 안심보안캠설치 지원,주택 및 거주지,전국,,온통청년,https://www.ch2030youth.kr,"전입 1인 청년가구의 안전한 주거환경 제공 전입 1인가구 안심보안캠 설치(무선CCTV, 문 열림 센서, SOS비상버튼, 24시간 긴급 출동)",,20260401 ~ 20260531,2026-04-30,2026-05-04
청년단기숙소 지원사업,주택 및 거주지,전국,,온통청년,https://www.ch2030youth.kr,"취업을 위해 천안을 방문하는 청년과 관내 기업 취업 후 전입하는 청년에게 단기 숙소를 지원하는 사업으로, 면접 응시 청년에게는 1박 숙박을 지원하고 취업 확정 후 전입 청년에게는 최대 3개월간 임시 거주 공간을 제공하여 취업 준비 및 초기 정착 과정에서 발생하는 주거 부담을 완화하고 청년의 지역 정착을 유도하기 위해 추진하는 사업 면접 응시 청년 숙박 지원 및 취업 확정 전입 청년 임시 거주 지원",,,2026-04-30,2026-05-04
대학생 학자금 대출이자 지원,교육비지원,전국,,온통청년,https://www.cheonan.go.kr/prog/caSliApd/kor/sub06_04_01/intro.do,"대학생 학자금 대출 이자 지원 - 상반기 :‘17년부터 대출받은 학자금의 ‘25년 7~12월 발생 이자 지원
- 하반기 :‘17년부터 대출받은 학자금의 ‘26년 1~6월 발생 이자 지원",,20260604 ~ 20260622,2026-04-30,2026-05-04
함평 전입청년 이사 지원사업,주택 및 거주지,전국,,온통청년,https://blog.naver.com/hpcounty/224214938325,함평 전입청년 부동산 중개 보수비 및 이사비 지원 타지에서 일정기간 이상 거주하다가 함평으로 전입 및 이사하여 전입신고를 완료한 청년 세대주에게 부동산 중개보수 및 이사비 포함하여 세대별 한도 내 실비 지원,,20260303 ~ 20260529,2026-04-30,2026-05-04
부산 전세피해 임차인 주거안정지원금 지원,주택 및 거주지,전국,,온통청년,www.gov.kr ,"「전세사기피해자 지원 및 주거안정에 관한 특별법」과 연계하여   부산지역 전세사기 등 피해자들의 주거 불안 해소 및 주거 안정   지원 도모 ㅇ전세피해임차인 주거안정지원금 지원
- 지원대상: 특별법에 따른 전세사기피해자(등) 결정자 (*이주비 지원사업  수혜자 제외)
- 지원금액: 155만원(생애1회)",,,2026-04-30,2026-05-04
부산 전세피해 임차인 버팀목 전세자금 대출이자 지원사업,전월세 및 주거급여 지원,전국,,온통청년,https://www.busan.go.kr/depart/charterdamage001/1662197,"「전세사기피해자 지원 및 주거안정에 관한 특별법」과 연계하여   부산지역 전세사기 등 피해자들의 주거 불안 해소 및 주거 안정   지원 도모 ㅇ전세피해 임차인 버팀목 전세대출 이자 지원
- 지원대상: 특별법에 따른 전세사기피해자(등) 결정자로서, 「전세피해 임차인 버팀목 전세대출」을 실행한 자 [*기금 저리대출, 대환 대출, 최우선변제금 버팀목 대출(무이자초과분)]
- 지원내용: 대출이자 실비 지원(월 최대 40만원 한도)
- 지원기간: 선정월로부터 2년간(최대 24회차 납입분까지)
- 지원방법: 신청인이 이자 先납부, 부산시에서 신청인 계좌로 後입금",,,2026-04-30,2026-05-04
부산 전세사기 피해주택 시설개선 지원사업,주택 및 거주지,전국,,온통청년,https://www.busan.go.kr/depart/charterdamage001/1712435?curPage=&srchBeginDt=2025-02-09&srchEndDt=2026-02-09&searchKey=&searchText=,"임대인(소유자) 소재불명 또는 연락두절 등으로 안전확보 및 피해복구가 시급한 부산시 소재의 전세사기피해주택의 공용부분 시설개선 공사 지원  ① 사업내용: 전세사기피해주택 공용부 보수공사 비용지원
 ② 사업대상: 임대인(소유자) 소재불명 또는 연락두절 등으로 안전확보 및 피해복구가 시급한 부산시 소재의 전세사기피해주택
 ③ 지원방식: 공사비 지원(민간 보조방식)
 ④ 지원금액: 최대2천만원, 전세사기피해주택 비율을 반영하여 지원
  - 공사비×지원금 지급률(전세사기피해주택* 세대수/전체 세대수): 2천만원 한도
   *소유권이 경매 등으로 피의자 외 제3자 등에게 넘어간 피해주택 제외
 ⑤ 사 업 비: 220백만원 (시비 100%)
 ⑥ 지원자격: 공용부분 소유자(점유자)의 과반수 동의를 득한 사업대상 전세사기피해주택의 관리단 또는 거주 중인 전세사기피해자",,20260202 ~ 20260313,2026-04-30,2026-05-04
2026년 상반기 경기도 대학생 학자금 대출이자 지원,교육비지원,전국,,온통청년,https://gg24.gg.go.kr,"도내 대학생, 대학원생, 미취업 졸업·수료생의 경제적 부담 경감을 위해 대출이자 지원 한국장학재단에서 2009년 2학기부터 직전 학기까지 대출받은 학자금의 사업공고일 직전 반기동안 발생한 이자 지원",,20260102 ~ 20260213,2026-04-29,2026-05-04
경기도 학자금대출 장기연체 신용회복 지원,교육비지원,전국,,온통청년,https://gg24.gg.go.kr/svcreqst/selectSvcReqst.do?svc_seq=944,"한국장학재단 학자금대출을 장기연체한 도민의 분할상환약정 초입금을 지원하여 장기연체자의 경제적 재기 기회 제공 한국장학재단 학자금 대출 장기연체(6개월 이상)로 한국신용정보원에 신용도판단정보가 등록된 자가 분할상환약정 체결 시 초기납입금 지원(1인 1회, 채무액의 10%이내, 1백만원 한도)",,20260401 ~ 20261211,2026-04-29,2026-05-04
